company,account,amount,date,units,fund,,,,,,,,,A Share,,Units of Bod,Value of Exchange,,Total Mid A Units,,GN_PY_UNTS,GN_NW_UNTS,GN_TR_UNTS,GN_DT_UNTS,
VIR,5643617,0,3/11/2011,-2075.4092,gn,,,,,,,,,,,7253.234214,-35178.18594,,5188.523,,5188.523,0,0,0,
VIR,5800567,0,3/11/2011,-229.6576,gn,,,,,,,,,,,802.6177979,-3892.69632,,574.144,,574.144,0,0,0,
VIR,5674442,0,3/11/2011,-382.3856,gn,,,,,,,,,,,1336.37854,-6481.43592,,955.964,,955.964,0,0,0,
VIR,5800563,0,3/11/2011,-193.7328,gn,,,,,,,,,,,677.0661773,-3283.77096,,484.332,,484.332,0,0,0,
VIR,5789583,0,3/11/2011,-21.507,gn,,,,,,,,,,,75.16363918,-364.54365,,60.663,,67.526,-6.863,0,0,
VIR,5676281,0,3/11/2011,-40.8448,gn,,,,,,,,,,,142.7462598,-692.31936,,102.112,,102.112,0,0,0,
VIR,5676285,0,3/11/2011,-48.2056,gn,,,,,,,,,,,168.4711175,-817.08492,,120.514,,120.514,0,0,0,
VIR,5773074,0,3/11/2011,-65.079,gn,,,,,,,,,,,227.4410412,-1103.08905,,154.496,,148.991,5.505,0,0,
VIR,5659873,0,3/11/2011,-282.902,gn,,,,,,,,,,,988.6987423,-4795.1889,,707.255,,707.255,0,0,0,
VIR,5669796,0,3/11/2011,-436.4476,gn,,,,,,,,,,,1525.31687,-7397.78682,,1091.119,,1091.119,0,0,0,
VIR,5436234,0,3/11/2011,-41.8032,gn,,,,,,,,,,,146.0957196,-708.56424,,104.508,,104.508,0,0,0,
VIR,5431904,0,3/11/2011,-33.5104,gn,,,,,,,,,,,117.113666,-568.00128,,83.776,,83.776,0,0,0,
VIR,5809382,0,3/11/2011,-461.4076,gn,,,,,,,,,,,1612.54821,-7820.85882,,1153.519,,1153.519,0,0,0,
VIR,5560540,0,3/11/2011,-33.0132,gn,,,,,,,,,,,115.3760289,-559.57374,,82.533,,82.533,0,0,0,
